id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,last_updated,quote_eur_price,quote_eur_volume_24h,quote_eur_volume_change_24h,quote_eur_percent_change_1h,quote_eur_percent_change_24h,quote_eur_percent_change_7d,quote_eur_percent_change_30d,quote_eur_percent_change_60d,quote_eur_percent_change_90d,quote_eur_market_cap,quote_eur_market_cap_dominance,quote_eur_fully_diluted_market_cap,quote_eur_last_updated,platform_id,platform_name,platform_symbol,platform_slug,platform_token_address
1,Bitcoin,BTC,bitcoin,9121,2013-04-28T00:00:00Z,"[""mineable"",""pow"",""sha-256"",""store-of-value"",""state-channel"",""coinbase-ventures-portfolio"",""three-arrows-capital-portfolio"",""polychain-capital-portfolio"",""binance-labs-portfolio"",""blockchain-capital-portfolio"",""boostvc-portfolio"",""cms-holdings-portfolio"",""dcg-portfolio"",""dragonfly-capital-portfolio"",""electric-capital-portfolio"",""fabric-ventures-portfolio"",""framework-ventures-portfolio"",""galaxy-digital-portfolio"",""huobi-capital-portfolio"",""alameda-research-portfolio"",""a16z-portfolio"",""1confirmation-portfolio"",""winklevoss-capital-portfolio"",""usv-portfolio"",""placeholder-ventures-portfolio"",""pantera-capital-portfolio"",""multicoin-capital-portfolio"",""paradigm-portfolio""]",21000000,18942418,18942418,,1,,,2022-01-28T19:17:00Z,33111.57188730141,21007736245.133278,-10.6802,-0.18185062,1.05631667,-5.3573513,-22.06410041,-36.75053694,-40.01737108,627213235326.3123,41.8295,695343009633.3286,2022-01-28T19:18:02Z,,,,,
1027,Ethereum,ETH,ethereum,5482,2015-08-07T00:00:00Z,"[""mineable"",""pow"",""smart-contracts"",""ethereum-ecosystem"",""binance-smart-chain"",""coinbase-ventures-portfolio"",""three-arrows-capital-portfolio"",""polychain-capital-portfolio"",""binance-labs-portfolio"",""blockchain-capital-portfolio"",""boostvc-portfolio"",""cms-holdings-portfolio"",""dcg-portfolio"",""dragonfly-capital-portfolio"",""electric-capital-portfolio"",""fabric-ventures-portfolio"",""framework-ventures-portfolio"",""hashkey-capital-portfolio"",""kenetic-capital-portfolio"",""huobi-capital-portfolio"",""alameda-research-portfolio"",""a16z-portfolio"",""1confirmation-portfolio"",""winklevoss-capital-portfolio"",""usv-portfolio"",""placeholder-ventures-portfolio"",""pantera-capital-portfolio"",""multicoin-capital-portfolio"",""paradigm-portfolio""]",,119349323.749,119349323.749,,2,,,2022-01-28T19:17:00Z,2202.8810054762225,13854153832.923704,-15.6262,-0.62035446,0.14467637,-13.05593802,-34.35432621,-44.45449185,-43.20817916,262912358303.1043,17.5371,262912358303.10074,2022-01-28T19:18:02Z,,,,,
825,Tether,USDT,tether,27118,2015-02-25T00:00:00Z,"[""payments"",""stablecoin"",""asset-backed-stablecoin"",""binance-smart-chain"",""avalanche-ecosystem"",""solana-ecosystem"",""moonriver-ecosystem""]",,78168627985.9358,80074893058.70424,,3,,,2022-01-28T19:17:00Z,0.8973559869973134,48000164040.48384,-9.7354,-0.17366959,-0.71579997,-1.57009789,-0.00487528,-0.03687478,-0.05836172,70145086318.54524,4.6775,71855684694.39491,2022-01-28T19:18:02Z,1027,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7
1839,BNB,BNB,bnb,659,2017-07-25T00:00:00Z,"[""marketplace"",""centralized-exchange"",""payments"",""smart-contracts"",""binance-smart-chain"",""alameda-research-portfolio"",""multicoin-capital-portfolio"",""moonriver-ecosystem""]",165116760,165116760.89,165116760.89,,4,,,2022-01-28T19:17:00Z,345.22798776592055,1593363318.2802107,-10.2242,-0.01769831,3.27634666,-9.31461085,-26.36672454,-38.22025016,-26.59299247,57002927108.48134,3.8011,57002926801.232574,2022-01-28T19:18:02Z,,,,,
3408,USD Coin,USDC,usd-coin,2891,2018-10-08T00:00:00Z,"[""medium-of-exchange"",""stablecoin"",""asset-backed-stablecoin"",""binance-smart-chain"",""fantom-ecosystem"",""moonriver-ecosystem""]",,49632042993.88276,49632042993.88276,,5,,,2022-01-28T19:17:00Z,0.897326348478423,75937205464354.64,1.0019,-0.14655963,-0.68363931,-1.54911146,-0.0205,0.00079745,-0.01165693,44536139907.224915,2.9702,44536139907.22299,2022-01-28T19:18:02Z,1027,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
2010,Cardano,ADA,cardano,360,2017-10-01T00:00:00Z,"[""mineable"",""dpos"",""pos"",""platform"",""research"",""smart-contracts"",""staking"",""binance-smart-chain"",""cardano-ecosystem""]",45000000000,33557208871.549,34027415098.893,,6,,,2022-01-28T19:17:00Z,0.9252271111026696,1168365038.2377467,-30.4231,-0.10189887,-1.35396776,-15.36385824,-24.4913018,-35.8276823,-47.69418711,31048039420.89216,2.0706,41635219999.620255,2022-01-28T19:18:02Z,,,,,
5426,Solana,SOL,solana,244,2020-04-10T00:00:00Z,"[""pos"",""platform"",""solana-ecosystem"",""cms-holdings-portfolio"",""kenetic-capital-portfolio"",""alameda-research-portfolio"",""multicoin-capital-portfolio"",""okex-blockdream-ventures-portfolio""]",,314966456.3146898,511616946.142289,,7,,,2022-01-28T19:17:00Z,81.99145436781427,2071979180.3593962,-20.9536,-0.02398911,-0.34764686,-27.50871388,-47.90957448,-56.11610773,-52.93754407,25824557830.318058,1.7221,41948217493.42458,2022-01-28T19:18:02Z,,,,,
52,XRP,XRP,xrp,676,2013-08-04T00:00:00Z,"[""medium-of-exchange"",""enterprise-solutions"",""binance-chain"",""arrington-xrp-capital-portfolio"",""galaxy-digital-portfolio"",""a16z-portfolio"",""pantera-capital-portfolio""]",100000000000,47736918345,99989798601,,8,,,2022-01-28T19:17:00Z,0.5394272553175194,1300019335.8064537,-19.9337,-0.48532051,-1.55278266,-12.05835935,-27.6500456,-38.79701022,-44.26336649,25750594840.15989,1.7176,53942725531.75248,2022-01-28T19:18:02Z,,,,,
4172,Terra,LUNA,terra-luna,141,2019-07-26T00:00:00Z,"[""cosmos-ecosystem"",""store-of-value"",""defi"",""payments"",""coinbase-ventures-portfolio"",""binance-labs-portfolio"",""solana-ecosystem"",""arrington-xrp-capital-portfolio"",""hashkey-capital-portfolio"",""kenetic-capital-portfolio"",""huobi-capital-portfolio"",""pantera-capital-portfolio"",""terra-ecosystem""]",,400618009.6546948,818343163.234691,,9,,,2022-01-28T19:17:00Z,43.4561242235954,3123670220.0208735,51.6209,-0.35922903,-15.62056552,-32.69629128,-43.8771507,-8.05933968,11.47881841,17409305993.76396,1.161,35562022159.05594,2022-01-28T19:18:02Z,,,,,
74,Dogecoin,DOGE,dogecoin,444,2013-12-15T00:00:00Z,"[""mineable"",""pow"",""scrypt"",""medium-of-exchange"",""memes"",""payments"",""binance-smart-chain"",""doggone-doggerel""]",,132670764299.89409,132670764299.89409,,10,,,2022-01-28T19:17:00Z,0.12513878611149476,508693689.55019605,-23.2368,-0.52910777,-1.76962336,-9.61935119,-19.245987,-35.32687362,-49.06399703,16602258396.97298,1.1071,16602258396.971912,2022-01-28T19:18:02Z,,,,,
6636,Polkadot,DOT,polkadot-new,301,2020-08-19T00:00:00Z,"[""substrate"",""polkadot"",""binance-chain"",""binance-smart-chain"",""polkadot-ecosystem"",""three-arrows-capital-portfolio"",""polychain-capital-portfolio"",""arrington-xrp-capital-portfolio"",""blockchain-capital-portfolio"",""boostvc-portfolio"",""cms-holdings-portfolio"",""coinfund-portfolio"",""fabric-ventures-portfolio"",""fenbushi-capital-portfolio"",""hashkey-capital-portfolio"",""kenetic-capital-portfolio"",""1confirmation-portfolio"",""placeholder-ventures-portfolio"",""pantera-capital-portfolio"",""exnetwork-capital-portfolio"",""web3"",""spartan-group""]",,987579314.957085,1103303471.382273,,11,904869778,16227620361.807095,2022-01-28T19:17:00Z,16.089230344983793,915765516.1242225,-27.8522,-0.56260668,-1.89916291,-19.42824768,-36.203723,-51.30282264,-58.51186742,15889391082.285837,1.0597,17751303691.489414,2022-01-28T19:18:02Z,,,,,
